Frequency	Channel A	Channel B
(ms)	(V)	(mV)

0.00000000	-0.44291340	9.48419000
0.01000000	-0.44291340	9.48419000
0.02000000	-0.44291340	9.48419000
0.03000000	-0.39862200	9.91480000
0.04000000	-0.39862200	9.91480000
0.05000000	-0.39862200	9.91480000
0.06000000	-0.39862200	9.91480000
0.07000000	-0.35433070	9.91480000
0.08000000	-0.39862200	9.48419000
0.09000000	-0.39862200	9.91480000
0.10000000	-0.35433070	9.48419000
0.11000000	-0.35433070	9.48419000
0.12000000	-0.35433070	9.91480000
0.13000000	-0.35433070	9.91480000
0.14000000	-0.35433070	9.91480000
0.15000000	-0.35433070	9.91480000
0.16000000	-0.31003940	9.91480000
0.17000000	-0.31003940	9.91480000
0.18000000	-0.35433070	9.48419000
0.19000000	-0.31003940	9.91480000
0.19999999	-0.31003940	9.48419000
0.20999999	-0.31003940	9.48419000
0.21999999	-0.31003940	9.48419000
0.22999999	-0.31003940	9.91480000
0.23999999	-0.31003940	9.91480000
0.24999999	-0.26574800	9.91480000
0.25999999	-0.26574800	9.91480000
0.26999999	-0.26574800	9.91480000
0.27999999	-0.26574800	9.91480000
0.28999999	-0.22145670	9.91480000
0.29999999	-0.26574800	9.48419000
0.30999999	-0.26574800	9.91480000
0.31999999	-0.22145670	9.91480000
0.32999999	-0.22145670	9.91480000
0.33999999	-0.26574800	9.91480000
0.34999999	-0.22145670	9.91480000
0.35999999	-0.17716540	9.91480000
0.36999999	-0.22145670	9.91480000
0.37999999	-0.22145670	9.48419000
0.38999999	-0.22145670	9.91480000
0.39999999	-0.17716540	9.91480000
0.40999999	-0.17716540	9.91480000
0.41999999	-0.17716540	9.48419000
0.42999999	-0.13287400	9.91480000
0.43999999	-0.13287400	9.91480000
0.44999999	-0.17716540	9.48419000
0.45999999	-0.17716540	9.91480000
0.46999999	-0.13287400	9.91480000
0.47999999	-0.13287400	9.48419000
0.48999999	-0.08858268	9.91480000
0.49999999	-0.13287400	9.91480000
0.50999999	-0.13287400	9.91480000
0.51999999	-0.08858268	9.91480000
0.52999999	-0.08858268	9.91480000
0.53999999	-0.13287400	9.91480000
0.54999999	-0.08858268	9.48419000
0.55999999	-0.04429134	9.91480000
0.56999999	-0.08858268	9.48419000
0.57999999	-0.08858268	9.91480000
0.58999999	-0.08858268	9.91480000
0.59999998	-0.08858268	9.48419000
0.60999998	-0.08858268	9.91480000
0.61999998	-0.04429134	9.91480000
0.62999998	-0.04429134	9.91480000
0.63999998	-0.04429134	9.48419000
0.64999998	0.00000000	9.91480000
0.65999998	0.00000000	9.48419000
0.66999998	0.04429134	9.91480000
0.67999998	0.00000000	9.91480000
0.68999998	0.04429134	9.48419000
0.69999998	0.00000000	9.48419000
0.70999998	0.04429134	9.48419000
0.71999998	0.04429134	9.48419000
0.72999998	0.04429134	9.48419000
0.73999998	0.04429134	9.48419000
0.74999998	0.08858268	9.48419000
0.75999998	0.08858268	9.48419000
0.76999998	0.08858268	9.48419000
0.77999998	0.08858268	9.48419000
0.78999998	0.08858268	9.05204100
0.79999998	0.08858268	9.05204100
0.80999998	0.08858268	9.05204100
0.81999998	0.08858268	9.05204100
0.82999998	0.08858268	9.05204100
0.83999998	0.13287400	9.05204100
0.84999998	0.13287400	8.62143100
0.85999998	0.13287400	9.05204100
0.86999998	0.08858268	8.62143100
0.87999998	0.13287400	8.19082200
0.88999998	0.17716540	8.19082200
0.89999998	0.17716540	8.19082200
0.90999998	0.17716540	8.19082200
0.91999998	0.17716540	8.19082200
0.92999998	0.17716540	8.19082200
0.93999998	0.17716540	7.75867300
0.94999998	0.22145670	7.32806300
0.95999998	0.22145670	7.32806300
0.96999998	0.17716540	7.32806300
0.97999998	0.26574800	7.32806300
0.98999997	0.22145670	6.89745300
0.99999997	0.22145670	6.89745300
1.00999997	0.26574800	6.46530500
1.01999997	0.26574800	6.46530500
1.02999997	0.26574800	6.46530500
1.03999997	0.26574800	6.03469500
1.04999997	0.26574800	6.03469500
1.05999997	0.31003940	6.03469500
1.06999997	0.26574800	5.60408400
1.07999997	0.31003940	5.60408400
1.08999997	0.31003940	5.17193600
1.09999997	0.31003940	5.17193600
1.10999997	0.31003940	5.17193600
1.11999997	0.31003940	4.74132600
1.12999997	0.35433070	4.74132600
1.13999997	0.35433070	4.31071600
1.14999997	0.35433070	4.31071600
1.15999997	0.35433070	3.87856800
1.16999997	0.35433070	3.87856800
1.17999997	0.35433070	3.44795700
1.18999997	0.35433070	3.01734700
1.19999997	0.35433070	2.58519900
1.20999997	0.39862200	2.58519900
1.21999997	0.39862200	2.58519900
1.22999997	0.39862200	2.15458900
1.23999997	0.39862200	1.72397900
1.24999997	0.39862200	1.72397900
1.25999997	0.44291340	1.29183100
1.26999997	0.44291340	0.86122040
1.27999997	0.44291340	0.86122040
1.28999997	0.44291340	0.43061020
1.29999997	0.48720470	0.00000000
1.30999997	0.44291340	-0.43061020
1.31999997	0.44291340	-0.43061020
1.32999997	0.48720470	-1.29183100
1.33999997	0.48720470	-0.86122040
1.34999997	0.48720470	-1.72397900
1.35999997	0.48720470	-2.15458900
1.36999997	0.48720470	-2.15458900
1.37999997	0.53164980	-2.58519900
1.38999996	0.48720470	-3.01734700
1.39999996	0.48720470	-3.44795700
1.40999996	0.53164980	-3.44795700
1.41999996	0.53164980	-3.87856800
1.42999996	0.53164980	-4.31071600
1.43999996	0.53164980	-4.74132600
1.44999996	0.53164980	-5.17193600
1.45999996	0.53164980	-5.60408400
1.46999996	0.53164980	-6.03469500
1.47999996	0.57594120	-6.46530500
1.48999996	0.62023250	-6.89745300
1.49999996	0.62023250	-7.32806300
1.50999996	0.62023250	-7.32806300
1.51999996	0.62023250	-8.19082200
1.52999996	0.62023250	-8.62143100
1.53999996	0.62023250	-9.05204100
1.54999996	0.62023250	-9.48419000
1.55999996	0.62023250	-9.91480000
1.56999996	0.66452380	-10.34541000
1.57999996	0.66452380	-10.77756000
1.58999996	0.66452380	-11.20817000
1.59999996	0.66452380	-11.63878000
1.60999996	0.66452380	-12.50154000
1.61999996	0.66452380	-12.93215000
1.62999996	0.70881520	-13.36276000
1.63999996	0.70881520	-13.79491000
1.64999996	0.70881520	-14.22552000
1.65999996	0.66452380	-14.65613000
1.66999996	0.70881520	-15.08827000
1.67999996	0.70881520	-15.51888000
1.68999996	0.70881520	-16.38164000
1.69999996	0.75310650	-16.38164000
1.70999996	0.75310650	-17.24286000
1.71999996	0.75310650	-17.67501000
1.72999996	0.75310650	-18.10562000
1.73999996	0.79739790	-18.96838000
1.74999996	0.79739790	-19.39899000
1.75999996	0.75310650	-19.82960000
1.76999996	0.79739790	-20.26175000
1.77999996	0.79739790	-20.69236000
1.78999995	0.75310650	-21.12297000
1.79999995	0.79739790	-21.55512000
1.80999995	0.79739790	-22.41634000
1.81999995	0.79739790	-22.84695000
1.82999995	0.84168920	-23.27909000
1.83999995	0.84168920	-23.70971000
1.84999995	0.84168920	-24.57246000
1.85999995	0.88598050	-24.57246000
1.86999995	0.84168920	-25.43368000
1.87999995	0.84168920	-25.86583000
1.88999995	0.88598050	-26.29644000
1.89999995	0.88598050	-26.72705000
1.90999995	0.88598050	-27.15920000
1.91999995	0.88598050	-27.58981000
1.92999995	0.88598050	-28.02042000
1.93999995	0.88598050	-28.45257000
1.94999995	0.93027190	-28.88318000
1.95999995	0.93027190	-29.31379000
1.96999995	0.93027190	-30.17655000
1.97999995	0.93027190	-30.17655000
1.98999995	0.97456320	-31.03931000
1.99999995	0.93027190	-31.03931000
2.00999995	0.93027190	-31.46992000
2.01999995	0.97456320	-31.46992000
2.02999995	0.97456320	-31.90053000
