Frequency	Channel A	Channel B
(ms)	(V)	(mV)

0.00000000	-2.65824900	-34.48726000
0.01000000	-2.65824900	-34.91787000
0.02000000	-2.65824900	-34.91787000
0.03000000	-2.61395800	-34.48726000
0.04000000	-2.61395800	-34.48726000
0.05000000	-2.61395800	-34.48726000
0.06000000	-2.61395800	-34.48726000
0.07000000	-2.61395800	-34.48726000
0.08000000	-2.56951300	-34.48726000
0.09000000	-2.52522100	-34.05666000
0.10000000	-2.56951300	-34.05666000
0.11000000	-2.52522100	-34.05666000
0.12000000	-2.52522100	-34.05666000
0.13000000	-2.52522100	-34.48726000
0.14000000	-2.48093000	-34.05666000
0.15000000	-2.52522100	-34.05666000
0.16000000	-2.48093000	-34.05666000
0.17000000	-2.52522100	-33.62450000
0.18000000	-2.48093000	-34.05666000
0.19000000	-2.48093000	-34.05666000
0.19999999	-2.43663900	-34.05666000
0.20999999	-2.43663900	-34.05666000
0.21999999	-2.43663900	-34.05666000
0.22999999	-2.43663900	-33.62450000
0.23999999	-2.39234700	-33.62450000
0.24999999	-2.43663900	-33.62450000
0.25999999	-2.39234700	-33.62450000
0.26999999	-2.39234700	-33.62450000
0.27999999	-2.39234700	-33.62450000
0.28999999	-2.34805600	-33.62450000
0.29999999	-2.34805600	-33.62450000
0.30999999	-2.30376500	-33.62450000
0.31999999	-2.30376500	-33.19390000
0.32999999	-2.30376500	-33.19390000
0.33999999	-2.30376500	-33.19390000
0.34999999	-2.30376500	-33.19390000
0.35999999	-2.25947300	-33.19390000
0.36999999	-2.25947300	-33.19390000
0.37999999	-2.25947300	-33.19390000
0.38999999	-2.21518200	-33.19390000
0.39999999	-2.25947300	-33.19390000
0.40999999	-2.21518200	-33.19390000
0.41999999	-2.17089100	-32.76329000
0.42999999	-2.21518200	-33.19390000
0.43999999	-2.21518200	-32.76329000
0.44999999	-2.17089100	-32.76329000
0.45999999	-2.17089100	-33.19390000
0.46999999	-2.17089100	-32.76329000
0.47999999	-2.12659900	-32.76329000
0.48999999	-2.17089100	-32.76329000
0.49999999	-2.12659900	-32.33268000
0.50999999	-2.12659900	-32.33268000
0.51999999	-2.08230800	-32.33268000
0.52999999	-2.08230800	-32.33268000
0.53999999	-2.08230800	-32.76329000
0.54999999	-2.08230800	-32.76329000
0.55999999	-2.03786300	-32.33268000
0.56999999	-2.03786300	-32.33268000
0.57999999	-2.03786300	-32.33268000
0.58999999	-2.03786300	-32.33268000
0.59999998	-1.99357200	-31.90053000
0.60999998	-1.99357200	-31.90053000
0.61999998	-1.99357200	-32.33268000
0.62999998	-1.99357200	-31.90053000
0.63999998	-1.94928000	-31.90053000
0.64999998	-1.99357200	-31.90053000
0.65999998	-1.94928000	-31.90053000
0.66999998	-1.94928000	-31.90053000
0.67999998	-1.90498900	-31.90053000
0.68999998	-1.90498900	-31.90053000
0.69999998	-1.90498900	-31.46992000
0.70999998	-1.86069800	-31.46992000
0.71999998	-1.86069800	-31.46992000
0.72999998	-1.86069800	-31.46992000
0.73999998	-1.86069800	-31.46992000
0.74999998	-1.86069800	-31.46992000
0.75999998	-1.86069800	-31.46992000
0.76999998	-1.86069800	-31.46992000
0.77999998	-1.81640600	-31.03931000
0.78999998	-1.81640600	-31.03931000
0.79999998	-1.81640600	-31.03931000
0.80999998	-1.81640600	-31.03931000
0.81999998	-1.77211500	-31.03931000
0.82999998	-1.77211500	-31.46992000
0.83999998	-1.77211500	-31.03931000
0.84999998	-1.77211500	-31.03931000
0.85999998	-1.72782400	-31.03931000
0.86999998	-1.72782400	-31.03931000
0.87999998	-1.68353200	-31.03931000
0.88999998	-1.68353200	-30.60716000
0.89999998	-1.68353200	-30.60716000
0.90999998	-1.68353200	-30.60716000
0.91999998	-1.68353200	-30.60716000
0.92999998	-1.63924100	-30.60716000
0.93999998	-1.63924100	-30.60716000
0.94999998	-1.63924100	-30.17655000
0.95999998	-1.63924100	-30.17655000
0.96999998	-1.63924100	-30.60716000
0.97999998	-1.59495000	-30.60716000
0.98999997	-1.59495000	-30.60716000
0.99999997	-1.63924100	-30.60716000
1.00999997	-1.55065800	-30.60716000
1.01999997	-1.59495000	-30.17655000
1.02999997	-1.55065800	-30.17655000
1.03999997	-1.55065800	-30.17655000
1.04999997	-1.55065800	-30.17655000
1.05999997	-1.50621300	-30.17655000
1.06999997	-1.50621300	-30.17655000
1.07999997	-1.50621300	-30.17655000
1.08999997	-1.50621300	-30.17655000
1.09999997	-1.46192200	-30.60716000
1.10999997	-1.46192200	-30.17655000
1.11999997	-1.46192200	-30.17655000
1.12999997	-1.46192200	-30.17655000
1.13999997	-1.41763000	-30.17655000
1.14999997	-1.41763000	-30.17655000
1.15999997	-1.41763000	-30.60716000
1.16999997	-1.41763000	-30.60716000
1.17999997	-1.41763000	-30.17655000
1.18999997	-1.37333900	-30.60716000
1.19999997	-1.32904800	-30.17655000
1.20999997	-1.37333900	-30.60716000
1.21999997	-1.37333900	-30.60716000
1.22999997	-1.32904800	-30.60716000
1.23999997	-1.32904800	-30.17655000
1.24999997	-1.28475600	-30.60716000
1.25999997	-1.32904800	-30.60716000
1.26999997	-1.28475600	-30.17655000
1.27999997	-1.28475600	-30.60716000
1.28999997	-1.28475600	-30.60716000
1.29999997	-1.24046500	-30.60716000
1.30999997	-1.24046500	-30.60716000
1.31999997	-1.24046500	-30.60716000
1.32999997	-1.24046500	-30.60716000
1.33999997	-1.24046500	-30.60716000
1.34999997	-1.19617400	-30.60716000
1.35999997	-1.19617400	-31.03931000
1.36999997	-1.15188200	-30.60716000
1.37999997	-1.19617400	-30.60716000
1.38999996	-1.15188200	-30.60716000
1.39999996	-1.15188200	-31.03931000
1.40999996	-1.15188200	-30.60716000
1.41999996	-1.10759100	-31.03931000
1.42999996	-1.10759100	-30.60716000
1.43999996	-1.10759100	-31.03931000
1.44999996	-1.10759100	-31.03931000
1.45999996	-1.10759100	-31.03931000
1.46999996	-1.10759100	-31.03931000
1.47999996	-1.06330000	-30.60716000
1.48999996	-1.06330000	-30.60716000
1.49999996	-1.01885500	-31.03931000
1.50999996	-1.06330000	-31.03931000
1.51999996	-1.01885500	-31.03931000
1.52999996	-0.97456320	-31.03931000
1.53999996	-0.97456320	-31.03931000
1.54999996	-1.01885500	-31.03931000
1.55999996	-0.97456320	-31.03931000
1.56999996	-0.97456320	-30.60716000
1.57999996	-0.97456320	-31.03931000
1.58999996	-0.97456320	-31.03931000
1.59999996	-0.93027190	-31.03931000
1.60999996	-0.93027190	-31.03931000
1.61999996	-0.88598050	-30.60716000
1.62999996	-0.88598050	-31.03931000
1.63999996	-0.88598050	-31.03931000
1.64999996	-0.88598050	-30.60716000
1.65999996	-0.88598050	-31.03931000
1.66999996	-0.88598050	-30.60716000
1.67999996	-0.84168920	-31.03931000
1.68999996	-0.84168920	-31.03931000
1.69999996	-0.84168920	-31.03931000
1.70999996	-0.79739790	-31.03931000
1.71999996	-0.79739790	-31.03931000
1.72999996	-0.79739790	-30.60716000
1.73999996	-0.79739790	-31.03931000
1.74999996	-0.75310650	-31.03931000
1.75999996	-0.75310650	-30.60716000
1.76999996	-0.75310650	-31.03931000
1.77999996	-0.75310650	-31.03931000
1.78999995	-0.70881520	-30.60716000
1.79999995	-0.70881520	-30.60716000
1.80999995	-0.66452380	-30.60716000
1.81999995	-0.70881520	-30.60716000
1.82999995	-0.66452380	-30.17655000
1.83999995	-0.66452380	-30.17655000
1.84999995	-0.66452380	-30.17655000
1.85999995	-0.62023250	-30.17655000
1.86999995	-0.62023250	-30.17655000
1.87999995	-0.62023250	-30.17655000
1.88999995	-0.62023250	-30.17655000
