Time	Channel A	Channel B
(ms)	(V)	(V)

0.00000000	2.21518200	3.39351600
0.02000000	2.17089100	3.39351600
0.04000000	2.17089100	3.39351600
0.06000000	2.12659900	3.39351600
0.08000000	2.08230800	3.30647100
0.10000000	2.03786300	3.30647100
0.12000000	2.03786300	3.30647100
0.14000000	2.03786300	3.30647100
0.16000000	1.94928000	3.30647100
0.18000000	1.94928000	3.21942700
0.19999999	1.94928000	3.21942700
0.21999999	1.90498900	3.21942700
0.23999999	1.86069800	3.13238200
0.25999999	1.86069800	3.13238200
0.27999999	1.81640600	3.13238200
0.29999999	1.77211500	3.13238200
0.31999999	1.72782400	3.04533700
0.33999999	1.72782400	3.04533700
0.35999999	1.68353200	3.04533700
0.37999999	1.68353200	3.04533700
0.39999999	1.68353200	3.04533700
0.41999999	1.63924100	2.95829200
0.43999999	1.63924100	2.95829200
0.45999999	1.59495000	2.95829200
0.47999999	1.55065800	2.95829200
0.49999999	1.55065800	2.87124800
0.51999999	1.55065800	2.87124800
0.53999999	1.50621300	2.87124800
0.55999999	1.50621300	2.78420300
0.57999999	1.50621300	2.87124800
0.59999998	1.46192200	2.78420300
0.61999998	1.46192200	2.78420300
0.63999998	1.46192200	2.78420300
0.65999998	1.41763000	2.69715800
0.67999998	1.41763000	2.69715800
0.69999998	1.41763000	2.69715800
0.71999998	1.41763000	2.69715800
0.73999998	1.41763000	2.69715800
0.75999998	1.41763000	2.61011300
0.77999998	1.41763000	2.61011300
0.79999998	1.41763000	2.61011300
0.81999998	1.37333900	2.52337600
0.83999998	1.41763000	2.52337600
0.85999998	1.41763000	2.52337600
0.87999998	1.37333900	2.52337600
0.89999998	1.41763000	2.52337600
0.91999998	1.41763000	2.43633100
0.93999998	1.41763000	2.43633100
0.95999998	1.41763000	2.43633100
0.97999998	1.41763000	2.43633100
0.99999997	1.46192200	2.43633100
1.01999997	1.46192200	2.34928600
1.03999997	1.50621300	2.34928600
1.05999997	1.50621300	2.34928600
1.07999997	1.50621300	2.34928600
1.09999997	1.55065800	2.26224200
1.11999997	1.59495000	2.26224200
1.13999997	1.59495000	2.26224200
1.15999997	1.63924100	2.26224200
1.17999997	1.68353200	2.17519700
1.19999997	1.68353200	2.17519700
1.21999997	1.72782400	2.17519700
1.23999997	1.72782400	2.08815200
1.25999997	1.77211500	2.08815200
1.27999997	1.77211500	2.08815200
1.29999997	1.81640600	2.08815200
1.31999997	1.86069800	2.00110700
1.33999997	1.86069800	2.08815200
1.35999997	1.90498900	2.00110700
1.37999997	1.90498900	2.00110700
1.39999996	1.99357200	2.00110700
1.41999996	1.99357200	1.91406300
1.43999996	2.03786300	1.91406300
1.45999996	2.03786300	1.91406300
1.47999996	2.12659900	1.91406300
1.49999996	2.17089100	1.91406300
1.51999996	2.17089100	1.91406300
1.53999996	2.17089100	1.82701800
1.55999996	2.21518200	1.82701800
1.57999996	2.25947300	1.73997300
1.59999996	2.30376500	1.73997300
1.61999996	2.34805600	1.73997300
1.63999996	2.34805600	1.73997300
1.65999996	2.39234700	1.73997300
1.67999996	2.39234700	1.65323600
1.69999996	2.48093000	1.65323600
1.71999996	2.43663900	1.65323600
1.73999996	2.48093000	1.56619100
1.75999996	2.52522100	1.56619100
1.77999996	2.56951300	1.56619100
1.79999995	2.56951300	1.56619100
1.81999995	2.61395800	1.56619100
1.83999995	2.61395800	1.56619100
1.85999995	2.61395800	1.47914600
1.87999995	2.65824900	1.47914600
1.89999995	2.65824900	1.47914600
1.91999995	2.70254100	1.39210100
1.93999995	2.70254100	1.39210100
1.95999995	2.74683200	1.39210100
1.97999995	2.74683200	1.39210100
1.99999995	2.74683200	1.30505700
2.01999995	2.74683200	1.30505700
2.03999995	2.74683200	1.30505700
2.05999995	2.74683200	1.30505700
2.07999995	2.79112300	1.21801200
2.09999995	2.79112300	1.21801200
2.11999995	2.79112300	1.21801200
2.13999995	2.79112300	1.21801200
2.15999995	2.74683200	1.13096700
2.17999994	2.74683200	1.13096700
2.19999994	2.74683200	1.13096700
2.21999994	2.74683200	1.13096700
2.23999994	2.70254100	1.13096700
2.25999994	2.70254100	1.13096700
2.27999994	2.70254100	1.04392200
2.29999994	2.70254100	1.04392200
2.31999994	2.70254100	1.04392200
2.33999994	2.65824900	0.95687750
2.35999994	2.61395800	0.95687750
2.37999994	2.61395800	0.95687750
2.39999994	2.56951300	0.95687750
2.41999994	2.56951300	0.95687750
2.43999994	2.52522100	0.86983270
2.45999994	2.48093000	0.86983270
2.47999994	2.43663900	0.86983270
2.49999994	2.43663900	0.78309550
